iter	Passed	Remaining
0	139	139106
1	141	70569
2	143	47763
3	145	36217
4	148	29470
5	149	24834
6	152	21562
7	153	19054
8	155	17114
9	156	15503
10	158	14211
11	159	13092
12	159	12141
13	160	11324
14	161	10608
15	162	9977
16	162	9419
17	163	8920
18	164	8474
19	164	8074
20	165	7712
21	166	7392
22	166	7092
23	167	6822
24	168	6572
25	169	6341
26	169	6124
27	170	5933
28	171	5747
29	172	5574
30	173	5407
31	173	5251
32	174	5110
33	175	4977
34	175	4851
35	176	4728
36	177	4614
37	177	4505
38	178	4403
39	179	4302
40	179	4209
41	180	4121
42	181	4036
43	182	3955
44	182	3878
45	183	3803
46	184	3737
47	185	3670
48	185	3605
49	186	3542
50	187	3483
51	187	3424
52	188	3370
53	189	3316
54	190	3265
55	190	3215
56	191	3167
57	192	3121
58	192	3077
59	193	3033
60	194	2990
61	195	2950
62	195	2910
63	196	2872
64	197	2835
65	197	2800
66	198	2766
67	198	2727
68	199	2693
69	200	2663
70	201	2633
71	202	2603
72	202	2576
73	203	2546
74	204	2517
75	204	2489
76	205	2464
77	206	2437
78	206	2412
79	207	2387
80	208	2364
81	209	2340
82	209	2319
83	210	2296
84	211	2272
85	211	2250
86	212	2227
87	213	2207
88	213	2187
89	214	2167
90	215	2148
91	215	2130
92	216	2111
93	217	2092
94	217	2073
95	218	2056
96	219	2040
97	219	2023
98	220	2007
99	221	1992
100	221	1975
101	222	1957
102	222	1941
103	223	1926
104	224	1911
105	225	1898
106	225	1884
107	226	1869
108	227	1856
109	227	1843
110	228	1830
111	229	1816
112	229	1804
113	230	1791
114	231	1779
115	231	1765
116	232	1753
117	233	1741
118	233	1729
119	234	1717
120	234	1706
121	235	1696
122	236	1682
123	236	1671
124	237	1660
125	237	1650
126	238	1640
127	239	1629
128	239	1619
129	240	1610
130	241	1600
131	241	1591
132	242	1581
133	243	1571
134	243	1561
135	244	1552
136	245	1544
137	245	1534
138	246	1525
139	246	1516
140	247	1507
141	248	1499
142	248	1490
143	249	1482
144	250	1474
145	250	1466
146	251	1458
147	252	1451
148	252	1443
149	253	1436
150	254	1428
151	254	1421
152	255	1414
153	256	1407
154	256	1399
155	257	1392
156	258	1385
157	258	1378
158	259	1371
159	260	1365
160	260	1358
161	261	1351
162	262	1345
163	262	1339
164	263	1332
165	264	1326
166	264	1320
167	265	1314
168	266	1308
169	266	1302
170	267	1296
171	268	1291
172	268	1285
173	269	1279
174	270	1274
175	271	1269
176	271	1263
177	272	1258
178	273	1252
179	273	1247
180	274	1240
181	274	1235
182	275	1229
183	276	1224
184	276	1219
185	277	1214
186	278	1209
187	278	1204
188	279	1199
189	280	1193
190	280	1188
191	281	1183
192	281	1179
193	282	1174
194	283	1170
195	284	1165
196	284	1161
197	285	1156
198	286	1151
199	286	1147
200	287	1142
201	288	1138
202	288	1134
203	289	1129
204	290	1125
205	290	1121
206	291	1117
207	292	1113
208	293	1109
209	293	1105
210	294	1100
211	295	1096
212	295	1092
213	296	1088
214	296	1084
215	297	1080
216	298	1076
217	299	1072
218	299	1068
219	300	1065
220	301	1061
221	301	1057
222	302	1054
223	303	1050
224	304	1047
225	304	1043
226	305	1040
227	306	1036
228	306	1033
229	307	1029
230	308	1025
231	308	1022
232	309	1018
233	310	1014
234	310	1011
235	311	1007
236	312	1004
237	312	1001
238	313	998
239	314	994
240	314	991
241	315	987
242	316	984
243	316	981
244	317	978
245	318	975
246	318	971
247	319	968
248	320	965
249	320	962
250	321	959
251	322	956
252	322	952
253	323	949
254	323	946
255	324	943
256	325	940
257	325	937
258	326	934
259	327	931
260	327	928
261	328	925
262	329	922
263	329	919
264	330	916
265	331	913
266	331	910
267	332	907
268	333	904
269	333	902
270	334	899
271	334	896
272	335	893
273	336	891
274	337	888
275	337	886
276	338	883
277	339	880
278	339	878
279	340	875
280	341	872
281	341	870
282	342	867
283	343	865
284	343	862
285	344	859
286	345	857
287	345	855
288	346	852
289	347	850
290	347	847
291	348	845
292	349	843
293	350	840
294	350	838
295	351	835
296	352	833
297	352	830
298	353	828
299	353	825
300	354	823
301	355	820
302	355	818
303	356	816
304	357	813
305	357	811
306	358	809
307	359	806
308	359	804
309	360	802
310	361	799
311	361	797
312	362	795
313	363	793
314	363	791
315	364	788
316	365	786
317	365	784
318	366	782
319	367	779
320	367	777
321	368	775
322	368	773
323	369	771
324	370	768
325	370	766
326	371	764
327	372	762
328	372	760
329	373	758
330	374	756
331	374	754
332	375	752
333	376	750
334	376	748
335	377	746
336	378	744
337	379	742
338	379	740
339	380	738
340	381	736
341	381	734
342	382	732
343	382	730
344	383	728
345	384	726
346	384	724
347	385	722
348	386	720
349	386	718
350	387	716
351	388	714
352	388	712
353	389	710
354	389	708
355	390	706
356	391	704
357	391	702
358	392	701
359	393	699
360	393	697
361	394	695
362	395	693
363	395	691
364	396	689
365	397	688
366	397	686
367	398	684
368	399	682
369	399	680
370	400	679
371	401	677
372	401	675
373	402	673
374	403	671
375	403	670
376	404	668
377	405	667
378	406	665
379	406	663
380	407	662
381	408	660
382	408	658
383	409	657
384	410	655
385	410	653
386	411	651
387	412	650
388	412	648
389	413	646
390	414	645
391	414	643
392	415	641
393	416	640
394	416	638
395	417	636
396	418	635
397	418	633
398	419	631
399	420	630
400	420	628
401	421	627
402	422	625
403	422	623
404	423	622
405	424	620
406	425	619
407	425	617
408	426	616
409	426	614
410	427	612
411	428	611
412	428	609
413	429	608
414	430	606
415	430	604
416	431	603
417	432	601
418	432	600
419	433	598
420	434	597
421	434	595
422	435	594
423	436	592
424	436	591
425	437	589
426	438	588
427	438	586
428	439	585
429	440	583
430	440	582
431	441	580
432	442	579
433	442	577
434	443	576
435	444	574
436	444	573
437	445	571
438	446	570
439	446	568
440	447	567
441	448	565
442	448	564
443	449	563
444	450	561
445	450	560
446	451	558
447	452	557
448	453	556
449	453	554
450	454	553
451	455	552
452	456	550
453	456	549
454	457	547
455	458	546
456	458	545
457	459	543
458	460	542
459	460	540
460	461	539
461	461	537
462	462	536
463	463	535
464	464	533
465	464	532
466	465	531
467	466	529
468	466	528
469	467	527
470	468	525
471	468	524
472	469	522
473	469	521
474	470	520
475	471	518
476	472	517
477	472	516
478	473	514
479	474	513
480	474	512
481	475	511
482	476	509
483	477	508
484	477	507
485	478	505
486	479	504
487	479	503
488	480	501
489	480	500
490	481	499
491	482	498
492	483	496
493	483	495
494	484	494
495	484	492
496	485	491
497	486	490
498	486	488
499	487	487
500	488	486
501	488	484
502	489	483
503	489	482
504	490	480
505	491	479
506	491	478
507	492	476
508	493	475
509	493	474
510	494	473
511	495	471
512	495	470
513	496	469
514	496	467
515	497	466
516	498	465
517	498	464
518	499	462
519	500	461
520	500	460
521	501	459
522	502	458
523	502	456
524	503	455
525	504	454
526	505	453
527	505	451
528	506	450
529	506	449
530	507	448
531	508	447
532	508	445
533	509	444
534	510	443
535	510	442
536	511	441
537	512	439
538	512	438
539	513	437
540	513	436
541	514	434
542	515	433
543	515	432
544	516	431
545	517	430
546	518	429
547	518	427
548	519	426
549	520	425
550	520	424
551	521	423
552	521	421
553	522	420
554	523	419
555	523	418
556	524	417
557	525	416
558	525	414
559	526	413
560	527	412
561	527	411
562	528	410
563	529	409
564	529	407
565	530	406
566	531	405
567	531	404
568	532	403
569	533	402
570	533	401
571	534	399
572	535	398
573	535	397
574	536	396
575	537	395
576	537	394
577	538	393
578	539	392
579	539	390
580	540	389
581	541	388
582	541	387
583	542	386
584	543	385
585	543	384
586	544	383
587	545	382
588	545	380
589	546	379
590	547	378
591	547	377
592	548	376
593	549	375
594	549	374
595	550	373
596	551	372
597	552	371
598	553	370
599	553	369
600	554	368
601	555	367
